,Health Facility Name,Address,street,landmark,locality,pincode,landline_number,latitude,longitude,altitude,Facility Type,State_Name,District_Name,Taluka_Name,Block_Name
9745,Health Post No.1,Arogya Kendra Panives,Panives,Panchamukhi Mahadev Mandir Opposite Side,Jalna,431203.0,,19.84449617,75.89766655,502.0,Urban Health Posts,Maharashtra,Jalna,Jalna,Jalna
9746,Ranjangaon,SUB CENTER RANJANGAON,A/P. RANJANGAON,OPPISITE ZILLA PARISHAD SCHOOL,TALUKA PARNER,414301.0,7387132098,18.899456,74.599049,0.0,SubCentre,Maharashtra,Ahmadnagar,Parner,Parner
9747,Health Unit Saoner,Health Unit Saoner,Saoner,Near Market,Saoner,441107.0,,21.385811,78.920138,0.0,Urban Health Centre,Maharashtra,Nagpur,Savner,Savner
9748,Waghadi Bu,SC Waghadi Bu,Walkheda Road,Near ZP School,At Waghadi Bu Tal Shindkheda,424309.0,0,21.105929999999997,74.824523,0.0,SubCentre,Maharashtra,Dhule,Sindkhede,Shindkheda
9749,Ghodegaon,SC Ghodegaon,Telhara -Pathardi road,Boudha vihar,Telhara,444108.0,,21.034951,76.881312,0.0,SubCentre,Maharashtra,Akola,Telhara,Telhara
9750,SDH Chandvad,SDH CHANDVAD,NEAR BUS STAND,NEAR MANMAD ROAD,CHANDVAD,423101.0,02556-252309,20.31987,74.25793,0.0,Sub-District Hospital,Maharashtra,Nashik,Chandvad,Chandvad
9751,Upalai Bk.,Primary Health Centre Upalai Bk,,,Upalai Bk,413234.0,2183244011,17.969632999999998,75.493578,0.0,Primary Health Centre,Maharashtra,Solapur,Madha,Madha
9752,Nawargaon Salaikala,Sub Center Nawargaon,NEAR WATER TANK,Nawargaon,Nawargaon,442203.0,,20.9531,78.74245,0.0,SubCentre,Maharashtra,Wardha,Seloo,Seloo
9753,Shiral,sub Centre Shiral,,,"Sub District - Ashti, village -Shiral",414202.0,,18.7877804,75.06695520000001,0.0,SubCentre,Maharashtra,Beed,Ashti,Ashti
9754,Potreddi,Potreddi,SubCenter,SubCenter,Subcenter,431804.0,,19.27584,78.164302,0.0,SubCentre,Maharashtra,Nanded,Kinwat,Kinwat
9755,M H COMPOUND HEALTH POST,M.H.COMPOUND MUNICIPAL DISPENSARY GROUND FLOOR,"SHIVALAY WELFARE CENTRE,SITARAM JADHAV MARG",,Lower Parel Mumbai,400011.0,2224979709,18.9964,72.8287,0.0,Urban Health Posts,Maharashtra,Mumbai,\N,\N
9756,Kurwandi,Near Dongargaon,Gavthan,Munbai Punw Highway,Tal  Maval,410512.0,,18.585625,73.511954,0.0,SubCentre,Maharashtra,Pune,Mawal,Mawal
9757,Motewadi,SubCentre Motewadi,,,Motewadi,413107.0,,17.802044,74.912914,0.0,SubCentre,Maharashtra,Solapur,Malshiras,Malshiras
9758,Ajani,Ajani,Ajani,Ajani,"Tq.Shirur Anantpal, Dist Latur",413514.0,,18.338611,76.84,0.0,SubCentre,Maharashtra,Latur,Shirur-Anantpal,Shirur Anantpal
9759,Dundra,subcenter dundra,subcenter dundra,subcenter dundra,subcenter dundra,431805.0,,19.505032999999997,78.8541,0.0,SubCentre,Maharashtra,Nanded,Kinwat,Kinwat
9760,Sonave,Sc Sonave,Pargoan Sonave Road,Z P School,Palghar,401102.0,,19.5781545,72.8834256,86.0,SubCentre,Maharashtra,Palghar,Palghar,\N
9761,Jambhud,SubCentre Jambhud,,,Jambhud,413112.0,,17.815356,75.161867,0.0,SubCentre,Maharashtra,Solapur,Malshiras,Malshiras
